,radnice,zs_komenskeho,pristavba_preislerova,ms_preislerova,parkovaci_dum,ms_tovarni,ms_vrchlickeho,ms_na_machovne,ms_pod_homolkou,zimni_stad,ms_drasarova,dum_pro_duchodce,plavecky_areal,zs_preislerova
zs_preislerova,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0
zs_komenskeho,0.0,1.0,0.0,3.0,4.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ms_preislerova,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,3.0
ms_pod_homolkou,2.0,5.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ms_vrchlickeho,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0
ms_drasarova,5.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0
ms_na_machovne,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,0.0
zimni_stad,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,3.0,1.0,0.0
parkovaci_dum,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0
radnice,3.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0
ms_tovarni,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0
dum_pro_duchodce,4.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0
plavecky_areal,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0
pristavba_preislerova,0.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
