,zs_preislerova,zs_komenskeho,ms_preislerova,ms_pod_homolkou,ms_vrchlickeho,ms_drasarova,ms_na_machovne,zimni_stad,parkovaci_dum,radnice,ms_tovarni,dum_pro_duchodce,plavecky_areal,pristavba_preislerova
zs_preislerova,0.0,0.0,0.2,0.15768923731311255,0.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0,1.0,0.0
zs_komenskeho,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.18968381800205328
ms_preislerova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ms_pod_homolkou,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.004152930300697977
ms_vrchlickeho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011960079234139998
ms_drasarova,0.0,0.0,0.0,0.0,0.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ms_na_machovne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zimni_stad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parkovaci_dum,0.0,0.0,0.2,0.0,0.2731211548287012,0.22219905941764012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10125964432759658
radnice,0.2,0.0,0.0,0.642310762686888,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
ms_tovarni,0.0,1.0,0.0,0.0,0.5268788451712988,0.0,0.0,0.012947039353644012,0.0,0.0,0.0,0.0,0.0,0.0
dum_pro_duchodce,0.6013467732257384,0.0,0.0,0.0,0.0,0.0,0.0,0.001780451652615044,0.0,0.0,0.0,0.0,0.0,0.0
plavecky_areal,0.198653226774261,0.0,0.6,0.0,0.0,0.7778009405823604,0.5,0.985272508993742,0.0,0.0,0.0,0.0,0.0,0.6929435281355122
pristavba_preislerova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
