,zs_preislerova,zs_komenskeho,ms_preislerova,ms_pod_homolkou,ms_vrchlickeho,ms_drasarova,ms_na_machovne,zimni_stad,parkovaci_dum,radnice,ms_tovarni,dum_pro_duchodce,plavecky_areal,pristavba_preislerova
zs_preislerova,3.6956075539773536e-06,0.0,0.0,0.0,0.9062520584268615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
zs_komenskeho,0.0,0.0,0.01676613539680847,0.025754652394388188,0.09192484172748751,0.0,0.0,0.010971871099541926,0.0,0.0,0.0,1.0,0.0,0.5878109874987398
ms_preislerova,0.0,0.0,0.0,0.0,0.0018230998456509745,0.0,0.0,0.0002762771346529469,0.015878661115554638,1.0,1.0,0.0,0.0,0.0
ms_pod_homolkou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016479686449002495
ms_vrchlickeho,0.0,0.04870108918423599,0.0003780254611787104,0.0,0.0,0.0,0.001518130231735304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ms_drasarova,0.0,0.0,0.0,0.0,0.0,2.1966075217649816e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ms_na_machovne,0.0,0.0,0.0,0.0006054661259200511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zimni_stad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parkovaci_dum,0.0,0.0,0.0,0.0,0.0,0.0,0.0471395610500462,0.0,0.0,0.0,0.0,0.0,0.0,0.39570932605225767
radnice,0.0,0.951298910815764,0.9277821773626048,0.0,0.0,0.8823849913061041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ms_tovarni,0.0,0.0,0.05507366177940798,0.2824243403914953,0.0,0.0,0.0,0.0,0.5034381523201974,0.0,0.0,0.0,0.0,0.0
dum_pro_duchodce,0.0,0.0,0.0,0.0,0.0,0.04206632825700563,0.0,0.1236862917688371,0.48068318656424797,0.0,0.0,0.0,0.0,0.0
plavecky_areal,0.999996304392446,0.0,0.0,0.6912155410881964,0.0,0.07554648382936846,0.9513423087182185,0.8650655599969681,0.0,0.0,0.0,0.0,0.0,0.0
pristavba_preislerova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
