,ms_pod_homolkou,ms_vrchlickeho,parkovaci_dum,pristavba_preislerova,ms_drasarova,ms_preislerova,zimni_stad,radnice,zs_preislerova,ms_tovarni,zs_komenskeho,ms_na_machovne,plavecky_areal,dum_pro_duchodce
zs_preislerova,0.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
zs_komenskeho,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0
ms_preislerova,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0
ms_pod_homolkou,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
ms_vrchlickeho,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0
ms_drasarova,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
ms_na_machovne,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0
zimni_stad,0.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
parkovaci_dum,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
radnice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,3.0
ms_tovarni,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
dum_pro_duchodce,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0
plavecky_areal,0.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
pristavba_preislerova,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0
