,zs_preislerova,zs_komenskeho,ms_preislerova,ms_pod_homolkou,ms_vrchlickeho,ms_drasarova,ms_na_machovne,zimni_stad,parkovaci_dum,radnice,ms_tovarni,dum_pro_duchodce,plavecky_areal,pristavba_preislerova
zs_preislerova,0.0,0.0,0.15079552440530158,0.0,0.0,0.0,0.0,0.0,0.013788676258845611,0.0,0.0,0.0,0.0,0.0
zs_komenskeho,0.0,0.0,0.0,0.4098447766598579,0.0,0.9700042674976979,0.0,0.6153101570684848,0.0,0.0,0.0,1.0,0.0,0.0
ms_preislerova,0.0,0.0,0.0,0.0,0.04263324502834076,0.0,0.04272396152155278,0.017832868904659793,0.0,0.0,0.0,0.0,1.0,0.0011277647314983583
ms_pod_homolkou,2.5797779079628214e-06,0.0,0.0,0.0,0.0,0.02999573250230214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ms_vrchlickeho,0.0,0.0,0.0,0.01130827802521317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ms_drasarova,0.0,0.0,0.011656856408653438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ms_na_machovne,0.0,0.0001894463695653048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zimni_stad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
parkovaci_dum,0.0,0.0,0.2575606250016684,0.0,0.9573667549716592,0.0,0.9572760384784472,0.3668569740268554,0.0,0.0,0.0,0.0,0.0,0.0
radnice,0.999997420222092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5654290966007144,0.0,0.0,0.0,0.0,0.9383532813632729
ms_tovarni,0.0,0.0,0.0,0.578846945314929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dum_pro_duchodce,0.0,0.0033634530164277435,0.5799869941843765,0.0,0.0,0.0,0.0,0.0,0.42078222714044,0.0,0.0,0.0,0.0,0.060518953905228746
plavecky_areal,0.0,0.996447100614007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pristavba_preislerova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
