,zs_preislerova,zs_komenskeho,ms_preislerova,ms_pod_homolkou,ms_vrchlickeho,ms_drasarova,ms_na_machovne,zimni_stad,parkovaci_dum,radnice,ms_tovarni,dum_pro_duchodce,plavecky_areal,pristavba_preislerova
zs_preislerova,0.0,0.0,0.0,0.0,0.48545125851116133,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
zs_komenskeho,0.0,0.0,0.0,0.01850584698013086,0.0,0.6244250479286534,0.05205707831755963,0.0,0.0,0.0,1.0,0.0,0.0,0.2274206279927012
ms_preislerova,0.0,0.0,0.9713607421862099,0.0,2.1038775119830433e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0422191810688375e-06
ms_pod_homolkou,0.0,0.0,0.0,0.0,0.0,0.0,5.079226849141749e-06,0.0,0.02598878851662134,0.0,0.0,0.0,0.0,0.0
ms_vrchlickeho,0.0,0.0,0.0,4.789331380511408e-07,0.0,1.3597426581912764e-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ms_drasarova,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ms_na_machovne,0.0,0.027044177154967985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zimni_stad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.023542369473553e-06,0.0,0.0,0.0,0.0,0.0,0.0
parkovaci_dum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13008477803562835,0.0,0.0,0.0,0.0,0.0,0.0
radnice,0.0,0.0,0.0,0.9032549464154009,0.0,0.0,0.8941050947020357,0.0,0.9740112114833787,0.0,0.0,0.0,0.0,0.0
ms_tovarni,0.0,0.0,0.028639257813790092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dum_pro_duchodce,0.0,0.4363491678954669,0.0,0.0,0.0,0.3755613546447647,0.05383274775355548,0.10296761538459068,0.0,0.0,0.0,0.0,0.0,0.0
plavecky_areal,0.0,0.536606654949565,0.0,0.0782387276713301,0.5145466376113267,0.0,0.0,0.7669445830374115,0.0,0.0,0.0,0.0,0.0,0.7725783297881177
pristavba_preislerova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
