,zs_preislerova,zs_komenskeho,ms_preislerova,ms_pod_homolkou,ms_vrchlickeho,ms_drasarova,ms_na_machovne,zimni_stad,parkovaci_dum,radnice,ms_tovarni,dum_pro_duchodce,plavecky_areal,pristavba_preislerova
zs_preislerova,0.0,0.25,0.0,0.0,0.0,0.0,0.46875,0.0,0.0,1.0,0.0,0.0,1.0,0.0
zs_komenskeho,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.673316694395317,0.0,0.0,0.0,0.0,0.0,0.0
ms_preislerova,0.0,0.0,0.0,0.0,0.0,0.0,0.03125000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ms_pod_homolkou,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ms_vrchlickeho,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ms_drasarova,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ms_na_machovne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zimni_stad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
parkovaci_dum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32668330560468295,0.0,0.0,0.0,0.0,0.0,0.0
radnice,0.0,0.25,0.5920869973264691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ms_tovarni,0.25,0.0,0.1579130026735307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dum_pro_duchodce,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plavecky_areal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pristavba_preislerova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
