,model,size,time_sec,unmet_energy,unused_energy
0,nonlinear_flow,30,2.0744,0.82,0.52
1,linear_flow,30,1.7204,0.81,0.51
2,nonlinear_flow,250,17.2435,5.4,10.37
3,linear_flow,250,10.3899,5.4,10.37
4,nonlinear_flow,500,37.4229,18.13,23.95
5,linear_flow,500,24.4168,18.13,23.95
6,nonlinear_flow,1000,59.8576,36.27,58.55
7,linear_flow,1000,45.1282,36.27,58.55
8,nonlinear_flow,1500,124.5066,33.38,68.21
9,linear_flow,1500,72.6127,33.25,68.08
10,nonlinear_flow,2000,1244.2481,58.5,110.64
11,linear_flow,2000,106.0054,56.59,108.72
12,nonlinear_flow,2976,272.628,86.85,156.72
13,linear_flow,2976,183.495,86.83,156.71
